# CMD: bash -lc docker compose logs --since=8h api | tail -n 2000
api-1  | INFO:     Started server process [1]
api-1  | INFO:     172.18.0.1:52892 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:52866 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:50860 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:50390 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:50402 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:50408 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:50382 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:50860 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:34596 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:34598 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:34604 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:34592 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:50860 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:44008 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:44018 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:44000 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:43998 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:50860 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:35802 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:35808 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:35804 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:35794 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:50860 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:57384 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:57372 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:57376 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:57366 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:50860 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:37526 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:37534 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:37510 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:37546 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:50860 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:48458 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:48436 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:48448 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:48430 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:50860 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:37240 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:37254 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:37252 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:37238 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:50860 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:53044 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:53026 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:53036 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:53012 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:50860 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:37592 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:37604 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:37616 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:37588 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:50860 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:46472 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:46496 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:46482 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:46468 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:50860 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:33954 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:33956 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:33958 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:33952 - "GET /analytics/summary HTTP/1.1" 200 OK
